Date Time,Tin,Tout,GasUsed,Srd
2018-11-06 05:00:00,16.64372727,10.062999999999999,0.0,2
2018-11-06 06:00:00,16.52245455,10.062999999999999,12.47166293,1
2018-11-06 07:00:00,17.93290909,10.161,1.0021871999999998,2
2018-11-06 08:00:00,18.04536364,9.866,5.010936,2
2018-11-06 09:00:00,17.98463636,11.040999999999999,0.33406240000000004,20
2018-11-06 10:00:00,18.06272727,11.819,0.0,45
2018-11-06 11:00:00,17.77718182,13.845999999999998,0.0,45
2018-11-06 12:00:00,17.65627273,14.709000000000001,0.0,114
2018-11-06 13:00:00,17.53509091,15.282,0.0,173
2018-11-06 14:00:00,17.52645455,15.472999999999999,0.0,179
2018-11-06 15:00:00,17.43127273,14.804,0.0,297
2018-11-06 16:00:00,17.27554545,14.421,0.0,113
2018-11-06 17:00:00,17.11118182,13.460999999999999,0.0,17
2018-11-06 18:00:00,16.98127273,13.654000000000002,11.692184,1
2018-11-06 19:00:00,18.477999999999998,13.845999999999998,0.6681248000000001,1
2018-11-06 20:00:00,18.46045455,13.654000000000002,4.454165333,1
2018-11-06 21:00:00,18.59054545,12.594000000000001,0.556770666,3
2018-11-06 22:00:00,18.348,12.594000000000001,0.890833067,2
2018-11-06 23:00:00,18.16645455,13.173,0.0,1
2018-11-07 00:00:00,17.881,13.173,0.0,1
2018-11-07 01:00:00,17.64745455,12.98,0.0,0
2018-11-07 02:00:00,17.48318182,12.98,0.0,2
2018-11-07 03:00:00,17.31009091,12.883,0.0,1
2018-11-07 04:00:00,17.17163636,12.787,0.0,1
2018-11-07 05:00:00,17.05909091,12.69,0.0,1
2018-11-07 06:00:00,16.92945455,11.235999999999999,11.91489227,1
2018-11-07 07:00:00,18.357,11.139000000000001,0.6681248000000001,1
2018-11-07 08:00:00,18.38272727,11.527999999999999,5.122290133,2
2018-11-07 09:00:00,18.42609091,12.11,0.6681248000000001,5
2018-11-07 10:00:00,18.46918182,13.845999999999998,0.0,40
2018-11-07 11:00:00,18.28745455,14.134,0.0,127
2018-11-07 12:00:00,18.07118182,14.709000000000001,0.0,218
2018-11-07 13:00:00,17.80327273,12.594000000000001,0.0,134
2018-11-07 14:00:00,17.75127273,12.497,0.0,43
2018-11-07 15:00:00,17.59563636,11.625,0.0,28
2018-11-07 16:00:00,17.38818182,11.431,0.0,28
2018-11-07 17:00:00,17.215,10.062999999999999,0.0,14
2018-11-07 18:00:00,17.03309091,10.161,11.58082987,2
